Cruise,Station,Type,Time_Stamp,Latitude,Longitude,Bottom_Z,CruiseCN,SCN,CampCN,Niskin,Cast_Type,Target_Z,Pressure,Density00,Density11,Sal11,SoundVel,SoundVel1,Oxygen_uM,Oxygen_V,Temperature,Temperature1,Conductivity,Conductivity1,BeamT,BeamAt,Fluorescence,Turbidity,UVP5,TOC,TOC_QF,TOC_sd,DOC,DOC_QF,DOC_sd,TDN,TDN_QF,TDN_sd,BactProd,BactProd_QF,BactProd_sd,BactAbund,BactAbund_QF,BactAbund_sd,TDAA,TDAA_QF,TDAA_sd,Asp,Glu,His,Ser,Arg,Thr,Gly,Tau,Bala,Tyr,Ala,GABA,Met,Val,Phe,Ile,Leu,Lys
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,3,Deep,750,757.793,1030.2668,1030.267,35.9061,1516.59,1516.59,-999,2.0661,13.8457,13.8451,4.309016,4.308967,98.7965,-999,-0.0214,0.0459,5.8204355,-999,9,-999,49.7,2,1.3,10.7,2,0.2,-999,9,-999,1.22,2,0.13,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,2,Deep,1000,1011.056,1031.6916,1031.6919,35.2769,1506.9,1506.9,-999,1.4862,10.0086,10.0084,3.881481,3.88149,98.9317,-999,-0.0485,0.0386,5.6659415,-999,9,-999,45,2,1,22.3,2,1.1,-999,9,-999,2.05,2,0.17,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-04T15:46,42.391,-42.954,4888,2,1,74,1,Deep,1500,1517.894,1034.6122,1034.6126,35.0196,1495.73,1495.75,-999,1.7095,4.9754,4.9793,3.411515,3.411983,99.0668,-999,-0.0331,0.0387,672.44225,-999,9,-999,45.9,2,1.5,20.3,2,0.3,-999,9,-999,1.2,2,0.13,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T02:00,42.372,-42.89,-999,2,2,-999,-999,Microlayer,0.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,145.36,2,0.36,-999,9,-999,-999,9,-999,-999,9,-999,6.3,2,0.56,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,24,Biology,5,7.263,1025.3953,1025.397,36.4133,1527.86,1527.86,-999,2.4144,21.7405,21.7391,5.14773,5.147809,97.8342,-999,0.1034,0.0622,6.0995216,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,23,Biology,5,7.401,1025.3955,1025.3974,36.4139,1527.87,1527.87,-999,2.4168,21.7437,21.7413,5.148158,5.148119,97.8825,-999,0.1143,0.0645,6.0895542,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,22,Biology,5,7.516,1025.3964,1025.3979,36.4134,1527.87,1527.87,-999,2.4183,21.7414,21.7402,5.147873,5.147948,97.8771,-999,0.094,0.0712,6.0795869,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,21,Biology,5,7.505,1025.3966,1025.3983,36.4128,1527.86,1527.86,-999,2.4172,21.739,21.737,5.147557,5.14753,97.876,-999,0.0894,0.0609,6.0995216,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,20,Biology,5,7.147,1025.3949,1025.3966,36.4129,1527.86,1527.85,-999,2.4139,21.7403,21.7378,5.147706,5.147613,97.8831,-999,0.099,0.0671,6.0995216,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AT38,1,B,2017-09-05T03:07,42.381,-42.882,-999,3,2,75,19,Biology,5,7.509,1025.3965,1025.398,36.4131,1527.86,1527.86,-999,2.4161,21.739,21.7387,5.147526,5.147743,97.8575,-999,0.1011,0.0564,6.0995216,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
